name,country,alpha_two_code,web_pages
Oslo School of Architecture,Norway,NO,http://www.aho.no/
Norwegian School of Management BI,Norway,NO,http://www.bi.no/
Agder University College,Norway,NO,http://www.hia.no/
Bergen University College,Norway,NO,http://www.hib.no/
Bodo Regional University,Norway,NO,http://www.hibo.no/
Finnmark University College,Norway,NO,http://www.hifm.no/
Lillehammer University College,Norway,NO,http://www.hil.no/
Molde University College,Norway,NO,http://www.himolde.no/
National College of Art and Design,Norway,NO,http://www.khio.no/shks/
Norwegian School of Economics and Business Administration,Norway,NO,http://www.nhh.no/
Norwegian University of Sport and Physical Education,Norway,NO,http://www.nih.no/
Norway's Information Technology University College,Norway,NO,http://www.nith.no/
Norwegian Teacher Academy for Studies in Religion and Education,Norway,NO,http://www.nla.no/
Agricultural University of Norway,Norway,NO,http://www.nlh.no/
Norwegian State Academy of Music,Norway,NO,http://www.nmh.no/
Norwegian University of Science and Technology,Norway,NO,http://www.ntnu.no/
National Academy of Fine Arts,Norway,NO,http://ska.khio.no/main
University of Bergen,Norway,NO,http://www.uib.no/
University of Oslo,Norway,NO,http://www.uio.no/
University of Stavanger,Norway,NO,http://www.uis.no/
University of Tromsø,Norway,NO,http://www.uit.no/
Norwegian University of Life Sciences,Norway,NO,http://www.umb.no/
Norwegian College of Veterinary Medicine,Norway,NO,http://www.veths.no/
